""
"Comparison of State and Local Government Spending and Debt"
"in the United States"
"Fiscal Year 2009"
"Amounts in $ billion"
"State","State & Local Spending","","State & Local Debt","","Gross State Product","","Real State Growth %","","Population (million)"," "
"Alabama","41.2","a","0.0","","169.9","a","-2.1","a","4.8","e"
"Alaska","14.5","a","0.0","","45.7","a","3.5","a","0.7","e"
"Arizona","53.9","a","0.0","","256.4","a","-3.9","a","6.3","e"
"Arkansas","20.7","a","0.0","","101.8","a","0.6","a","2.9","e"
"California","425.8","a","0.0","","1,891.4","a","-2.2","a","37.0","e"
"Colorado","45.7","a","0.0","","252.7","a","-0.9","a","5.0","e"
"Connecticut","37.6","a","0.0","","227.4","a","-3.1","a","3.6","e"
"Delaware","9.4","a","0.0","","60.6","a","-1.8","a","0.9","e"
"District of Columbia","12.6","a","0.0","","99.1","a","0.8","a","0.6","e"
"Florida","160.5","a","0.0","","737.0","a","-3.4","a","18.7","e"
"Georgia","76.2","a","0.0","","395.2","a","-3.1","a","9.6","e"
"Hawaii","14.3","a","0.0","","66.4","a","-1.5","a","1.3","e"
"Idaho","11.6","a","0.0","","54.0","a","-3.1","a","1.6","e"
"Illinois","124.5","a","0.0","","630.4","a","-3.4","a","12.8","e"
"Indiana","51.5","a","0.0","","262.6","a","-3.6","a","6.5","e"
"Iowa","28.3","a","0.0","","142.3","a","-0.2","a","3.0","e"
"Kansas","25.8","a","0.0","","124.9","a","-1.1","a","2.8","e"
"Kentucky","36.0","a","0.0","","156.6","a","-1.8","a","4.3","e"
"Louisiana","48.0","a","0.0","","208.4","a","2.5","a","4.5","e"
"Maine","11.9","a","0.0","","51.3","a","-1.3","a","1.3","e"
"Maryland","54.7","a","0.0","","286.8","a","0.0","a","5.7","e"
"Massachusetts","73.1","a","0.0","","365.2","a","-1.6","a","6.5","e"
"Michigan","86.3","a","0.0","","368.4","a","-5.2","a","9.9","e"
"Minnesota","54.4","a","0.0","","260.7","a","-2.3","a","5.3","e"
"Mississippi","26.2","a","0.0","","95.9","a","-0.9","a","3.0","e"
"Missouri","48.4","a","0.0","","239.8","a","-2.2","a","6.0","e"
"Montana","8.5","a","0.0","","36.0","a","0.0","a","1.0","e"
"Nebraska","18.8","a","0.0","","86.4","a","0.3","a","1.8","e"
"Nevada","22.5","a","0.0","","126.5","a","-6.4","a","2.7","e"
"New Hampshire","10.6","a","0.0","","59.4","a","-1.2","a","1.3","e"
"New Jersey","96.7","a","0.0","","483.0","a","-2.4","a","8.8","e"
"New Mexico","21.2","a","0.0","","74.8","a","-2.2","a","2.0","e"
"New York","278.7","a","0.0","","1,093.2","a","-4.3","a","19.3","e"
"North Carolina","76.8","a","0.0","","398.0","a","-3.2","a","9.4","e"
"North Dakota","6.1","a","0.0","","31.9","a","3.9","a","0.7","e"
"Ohio","108.0","a","0.0","","471.3","a","-2.7","a","11.5","e"
"Oklahoma","30.1","a","0.0","","153.8","a","6.6","a","3.7","e"
"Oregon","37.6","a","0.0","","165.6","a","-2.4","a","3.8","e"
"Pennsylvania","120.5","a","0.0","","554.8","a","-1.0","a","12.7","e"
"Rhode Island","10.7","a","0.0","","47.8","a","-1.8","a","1.1","e"
"South Carolina","42.1","a","0.0","","159.6","a","-2.5","a","4.6","e"
"South Dakota","6.5","a","0.0","","38.3","a","2.2","a","0.8","e"
"Tennessee","52.8","a","0.0","","244.5","a","-3.1","a","6.3","e"
"Texas","204.0","a","0.0","","1,144.7","a","-1.5","a","24.8","e"
"All states combined","2,989.0","a","0.0","","14,418.7","a","-2.8","a","306.2","g"
"Utah","24.0","a","0.0","","112.9","a","-0.9","a","2.7","e"
"Vermont","6.4","a","0.0","","25.4","a","-0.7","a","0.6","e"
"Virginia","65.3","a","0.0","","408.4","a","0.2","a","7.9","e"
"Washington","72.5","a","0.0","","338.3","a","-0.7","a","6.7","e"
"West Virginia","14.6","a","0.0","","63.3","a","0.7","a","1.8","e"
"Wisconsin","52.8","a","0.0","","244.4","a","-2.1","a","5.7","e"
"Wyoming","8.4","a","0.0","","37.5","a","5.4","a","0.6","e"

"Legend:"
" g - 'guesstimated' projection by usgovernmentspending.com"
" e - out-year estimate in US budget"
" a - actual reported"
